eps_axial,dense_p,dense_q,dense_u,dense_eta,dense_psi,loose_p,loose_q,loose_u,loose_eta,loose_psi
0.017,291.2671833334351,416.36987957814995,242.5227765259482,1.429511813905587,-0.043278685791509286,198.25441346007992,257.68928809196746,282.6420159039092,1.2997909282047595,0.058639921447585674
0.018000000000000002,292.6731721375639,419.69117368150853,242.2238857562723,1.4339926362784046,-0.04298975391524129,196.19863413983887,256.4897749176572,284.2979574993802,1.3072964347695017,0.058014509238115686
0.019,294.20027036262525,422.89409659030014,241.76442850080812,1.4374361249534187,-0.04267750226551548,194.34643990692211,255.23474500285636,285.7318084273633,1.3132977641632917,0.05744539445691599
0.02,295.81692869926076,426.01170276925535,241.18697222382437,1.4401194165677913,-0.04234869916248285,192.65311348102506,253.942240332609,286.9942999631779,1.3181320340178175,0.0569203280424766
0.021,297.4988460147039,429.0453233508081,240.51626176889883,1.4421747482328133,-0.04200852513190778,191.08409454562596,252.62544280377983,288.1243863889673,1.3220642115948555,0.056429671109646806
0.022,299.2272451566985,432.0138217447871,239.7773620915639,1.4437649937877526,-0.04166094777584828,189.6128118228388,251.2911870138502,289.1509171817779,1.3252859055148627,0.05596590373252752
0.023,300.9882297186627,434.93058012405606,238.98863032268932,1.4450085989428587,-0.04130887629049185,188.21935987283544,249.95395449124302,290.0986249575789,1.3279927987222815,0.05552333953431088
0.024,302.7714127971312,437.82177252806343,238.16917804555663,1.446047262135086,-0.040954459438923285,186.88853858224877,248.62073637516912,290.9850402094743,1.3303155895017729,0.055097597432951506
0.025,304.57009292817065,440.667551800167,237.31909100521835,1.4468510271758475,-0.04059907084003478,185.60819986525345,247.28026601671093,291.8185554736502,1.332270159379972,0.054685134087012255
0.026000000000000002,306.37718752012916,443.49208484415936,236.45350742792397,1.4475362491374189,-0.040244126984185113,184.36927833383638,245.9469164651119,292.6130271545343,1.3339907748609683,0.05428329573674828
0.027,308.1892061113252,446.29515266054824,235.57584477552425,1.448120647351082,-0.03989031189878278,183.1637997751033,244.61801153240768,293.3755374023659,1.3355150517338066,0.05388970409996108
0.028,310.0027173038789,449.06676599102417,234.68620469312916,1.4485897733303683,-0.03953828211783761,181.98653118440686,243.29480713399457,294.111737860258,1.3368835899589957,0.053502814897355755
0.029,311.8140669961626,451.8135750528553,233.79045802145586,1.4489839390678152,-0.03918872163092768,180.8335944204376,241.98353483992224,294.8275838595365,1.3381558643208251,0.05312148853863996
0.03,313.6213850016062,454.54894889474315,232.89493129664152,1.449355722003508,-0.038841957206825484,179.70167673480395,240.6794678174703,295.52481253768616,1.3393278915958853,0.05274474157536746
0.031,315.42396893609964,457.26318720697014,231.99709346622373,1.449677996092951,-0.03849808587406556,178.5886779919734,239.3906877517562,296.20821792527863,1.340458367481255,0.0523719705057879
0.032,317.2202299593364,459.954442600459,231.09791757414993,1.449953058351352,-0.03815737003031772,177.49283305309808,238.110494266038,296.87733170224794,1.3415217401753103,0.052002667962011584
0.033,319.0095647756913,462.64681150214284,230.20603905835634,1.4502600002838435,-0.03781988073657505,176.41266167437104,236.84622678427914,297.5360805870553,1.3425693175099789,0.0516364092577013
0.034,320.79198215808776,465.30790226712605,229.31065193095426,1.4504972946543913,-0.037485572949633506,175.3468355987257,235.58857485323932,298.1826893523541,1.3435576071208633,0.05127280991929828
0.035,322.5658313549569,467.9565027679558,228.41966956769502,1.4507317802455293,-0.037154711275852126,174.29397901834722,234.3384491361263,298.81883736036156,1.3445011150468855,0.05091145859461732
0.036000000000000004,324.3311497140191,470.59386581911195,227.5334722256849,1.450967217407458,-0.036827242242705394,173.25387504605482,233.1053534518284,299.447909437888,1.3454553520945127,0.05055233438241724
0.037,326.08810626739506,473.21985913681976,226.65184677821154,1.4512024512441903,-0.03650308932552426,172.22619977130847,231.8855069789164,300.0689692216637,1.3464008802773728,0.05019537777133398
0.038,327.8366217743782,475.8247361596404,225.77162361216858,1.4514081239133487,-0.03618222309751373,171.21089669746576,230.6790901866657,300.68213336475617,1.3473388355314897,0.04984062074288853
0.039,329.57594229864384,478.4159044240069,224.89602584269178,1.4516105183141443,-0.03586473760771125,170.20728997402213,229.4803383105818,301.2861561295051,1.348240362358194,0.049487876927839736
0.04,331.3061469384493,480.9978921048704,224.02648376317418,1.4518230239604675,-0.035550574106360644,169.21481084921916,228.29518791080025,301.8835851210476,1.3491442431373537,0.0491369927805958
0.041,333.0272345616653,483.55733587306884,223.158544062691,1.452005378807932,-0.03523968956766743,168.2333471556172,227.1182760606464,302.47274486459827,1.3500193623952579,0.048787973316302136
0.042,334.73888372511203,486.10545389318395,222.29626757261596,1.4521929704837468,-0.03493209931439201,167.26220551245376,225.95373165607694,303.0557050395719,1.3508953260768357,0.04844061454584492
0.043000000000000003,336.4408481608261,488.63174827802106,221.43640126518093,1.4523555951934957,-0.03462780500939089,166.30139700644824,224.7992965166683,303.6317018324412,1.3517583169066936,0.04809496130693858
0.044,338.1332319942273,491.16117300530146,220.58715900753987,1.4525669958807441,-0.034326746175275646,165.35063816160235,223.65827695731696,304.20212082417,1.3526302616306127,0.04775095203871471
0.045,339.8168227326734,493.67363973033025,219.74105717743666,1.4527639796064267,-0.034028742948462476,164.40985134686366,222.52385557324482,304.7647671775513,1.353470328878135,0.0474085983376058
0.046,341.49178556159404,496.1677477824405,218.89746369921946,1.4529419703799813,-0.03373372841031874,163.47911165570778,221.40780748461415,305.3234908391636,1.3543492207793866,0.04706796758902376
0.047,343.15784214872207,498.6634448145037,218.06330612277915,1.4531605680116926,-0.033441714543667844,162.55869645140447,220.30066339267066,305.87485801281906,1.3552068772803407,0.04672920283480897
0.048,344.8157725328121,501.1287057877656,217.2271293964431,1.4533230371301504,-0.03315252898918786,161.6480473695824,219.2048774480056,306.42024511308614,1.3560626374089673,0.04639213958954658
0.049,346.46394823892587,503.58719233059725,216.39844920460655,1.453505321088465,-0.03286641983024641,160.74740572359934,218.11858685086776,306.9587898933566,1.3569026875986823,0.04605690757050773
0.05,348.10334788526404,506.0253442351131,215.57176685977365,1.4536641124230172,-0.032583181152021856,159.85632650395024,217.04300243975962,307.49134097596965,1.3577379587438239,0.04572338125452302
0.051000000000000004,349.73307013280737,508.4500009384293,214.75026351333574,1.45382305638226,-0.03230293348910118,158.9744799751706,215.97745282606135,308.0180043001832,1.3585668143704182,0.045391475268175885
0.052000000000000005,351.353400477941,510.8623520980442,213.93405022140703,1.4539843684538856,-0.03202559253934911,158.1022983136317,214.92713415394994,308.54007973768495,1.3594181517057602,0.045061390977805704
0.053,352.9642012551196,513.2554830753525,213.1209597699979,1.4541290058602165,-0.031751147559128334,157.23972820418692,213.88404848927436,309.0549546255712,1.3602417845160022,0.044733148426592706
0.054,354.5654825770693,515.6367225643228,212.31342494437163,1.4542778355539518,-0.0314795630714364,156.38645771378026,212.85057949853,309.56373545239643,1.3610550594354585,0.044406668317202636
0.055,356.1572714877824,518.0032197621512,211.51046843293466,1.4544226981476096,-0.031210801465620275,155.54139696982418,211.82165553833264,310.06582154295336,1.361834596222812,0.044081568984627006
0.056,357.739812621746,520.3650776310305,210.71521325526416,1.4545909045388676,-0.030944789387170157,154.70474237562428,210.80682453780324,310.5641991369768,1.3626397051614791,0.04375795885075928
0.057,359.312887992178,522.7062838512536,209.92253995823987,1.4547384781328316,-0.03068153210199953,153.87690626901392,209.80361704287512,311.0576327452778,1.3634509695437198,0.04343603247715144
0.058,360.876866610399,525.0274994553347,209.13229987471254,1.4548660444398946,-0.030420937268467396,153.05818345421358,208.81195494837965,311.54580152857966,1.3642652110192102,0.04311594209296854
0.059000000000000004,362.4318248603561,527.3533994683634,208.35264162909837,1.4550416472713208,-0.030162962658663472,152.24800715707724,207.8267629627781,312.02758049718216,1.3650540775115643,0.04279750313937636
0.06,363.9785442595104,529.6594164414013,207.57459455429003,1.4551940623834225,-0.029907450600620278,151.44601956472397,206.8502468192236,312.50406270835055,1.3658348196521688,0.042480609403155345
0.061,365.5156489462867,531.9413624546002,206.79813853858,1.455317614958724,-0.029654600287198685,150.65263847513793,205.88607400421992,312.976052859602,1.3666277344236297,0.04216546086773998
0.062,367.043543415551,534.2183200255993,206.0292299263154,1.4554630631951482,-0.029404316618540705,149.8680374038685,204.9331062319015,313.4429980067653,1.36742370008918,0.0418521634807929
0.063,368.56265903345167,536.4792624047562,205.26376176813375,1.4555985237670646,-0.029156501778635713,149.0918467665251,203.98888789078418,313.90444919706965,1.3682095454235454,0.04154060634319867
0.064,370.0724016590325,538.7223558412202,204.50171695470758,1.4557215113208413,-0.02891122589477013,148.32410452082866,203.05498343791317,314.36088995847575,1.368995175085644,0.041230840596877316
0.065,371.572811410816,540.9607805629109,203.74744877682102,1.455867501470169,-0.028668455615018296,147.56466158923993,202.12806027849652,314.81135850359226,1.369759250633725,0.04092284190835471
0.066,373.06496124882835,543.1938156030318,202.99964395218225,1.456030107423383,-0.028427992094629095,146.8132208830582,201.21186023785307,315.2573991962262,1.37052956830179,0.04061652446412323
0.067,374.54884220235334,545.4021959781807,202.25188979037355,1.4561577410604363,-0.02818981304090795,146.06988811597353,200.3053011788628,315.69854561031406,1.37129769702999,0.04031196567997597
0.068,376.023817835293,547.6005526173103,201.5096997038104,1.4562921991743933,-0.02795399669264942,145.33464494130936,199.4091921118464,316.13508576263945,1.3720692144145947,0.040009192873876165
0.069,377.49012525216733,549.7829858009603,200.77087001481945,1.4564168676828289,-0.02772048128959481,144.6075656618043,198.51956265604676,316.5656218902113,1.372815881019166,0.039708271886046864
0.07,378.9470967401871,551.9452987064129,200.0346694952839,1.4565233602642864,-0.027489349359957282,143.88798913014531,197.63824076585058,316.99142445847156,1.3735562082745396,0.0394089627236307
0.07100000000000001,380.3953642051402,554.1091205393677,199.30767597464904,1.4566663337162724,-0.027260477256175975,143.17613681102463,196.76853287721656,317.4133741480475,1.374310951949538,0.03911139000147568
0.07200000000000001,381.8357147920315,556.2643194029774,198.58572500896096,1.4568158447565578,-0.027033718887333524,142.47227212798194,195.90665653236093,317.82994671613835,1.3750511142012196,0.038815698058966897
0.073,383.26797497617594,558.4016714753161,197.8659155155961,1.4569484223408609,-0.026809080808652297,141.7758640112554,195.05615514496333,318.242854370399,1.3758064992605374,0.038521697393384624
0.074,384.69172252697587,560.5232604674277,197.14936429550002,1.457071279791111,-0.026586608324232763,141.0868943148887,194.20793602767728,318.6490843610037,1.3765129424015026,0.03822941244378408
0.075,386.10664094815604,562.6239204477325,196.4346658677548,1.4571723476863951,-0.02636632970235553,140.40467377859935,193.36826139017867,319.0514133514602,1.3772209726799858,0.03793858090947322
0.076,387.5125093802571,564.7168958347661,195.72645589799828,1.457286880203969,-0.026148258061428953,139.72948576936906,192.54075170573117,319.450764799208,1.3779536269354766,0.03764935264066316
0.077,388.9096967086389,566.7951872630995,195.02203237906096,1.4573953595395381,-0.02593231542214025,139.06134942269364,191.71815470367562,319.8447021451982,1.3786588113777418,0.03736176601665231
0.078,390.29846690600453,568.8638031657407,194.32280081590903,1.4575097044968408,-0.025718441122658753,138.40008011579522,190.90391996947383,320.2345598740294,1.3793627851208627,0.03707577142921803
0.079,391.6783090674498,570.9203233326814,193.62846537677734,1.4576255823101116,-0.025506694129249663,137.74572429808148,190.09870915160462,320.6205120857867,1.3800697634739745,0.036791418584308566
0.08,393.049942346096,572.9611584907245,192.93711048414553,1.4577311856878727,-0.025296944880685013,137.09817468085126,189.30200093556874,321.00249229767167,1.3807769605703502,0.036508690467950355
0.081,394.4127812065477,574.9913980589575,192.25101814643813,1.4578416964582182,-0.025089264159244618,136.45782218210772,188.5135097238594,321.38001439251207,1.3814782231558815,0.03622778841833374
0.082,395.76768764161625,577.0163694747342,191.57110218329515,1.457967356843053,-0.02488350238967163,135.82434762097975,187.73361594561936,321.7535243608934,1.382179404752183,0.035948603466395834
