eps_axial,undrained_dense_p,undrained_dense_q,undrained_dense_eps_v,undrained_dense_eta,undrained_dense_hardening,undrained_dense_psi,undrained_loose_p,undrained_loose_q,undrained_loose_eps_v,undrained_loose_eta,undrained_loose_hardening,undrained_loose_psi,drained_dense_p,drained_dense_q,drained_dense_eps_v,drained_dense_eta,drained_dense_hardening,drained_dense_psi,drained_loose_p,drained_loose_q,drained_loose_eps_v,drained_loose_eta,drained_loose_hardening,drained_loose_psi
0.047,226.16429026622774,311.1490518415434,0.0,1.3757656059463517,241.02407083314102,-0.12761514183021416,43.20854096554067,59.91112982995408,0.0,1.3865575761452793,43.15497909953638,-0.013412127830973786,454.43632303142306,613.3089690942722,0.0146800512930027,1.3496037574704687,467.36325109917647,-0.10264059839793438,317.1320314002725,201.39609420081607,0.03633878347306435,0.6350544071867065,184.6638116531358,0.060803061757692456
0.048,228.5436386057173,314.4507432446111,0.0,1.3758892838277614,243.45079405456923,-0.1268197647857755,43.19621687395987,59.94756589375256,0.0,1.3877966690617984,43.18000550879853,-0.01343380790947668,456.2337058759209,618.7011176277658,0.014681168112389075,1.356105674919227,471.3351576305386,-0.10234271565322761,318.60869459446366,205.82608378338978,0.036944269001887346,0.6460152760280834,186.98267284922815,0.059892195265985215
0.049,230.92329975588532,317.7702329080046,0.0,1.3760856234252987,245.89017863505615,-0.12603252266056397,43.196562179475734,59.99605409822982,0.0,1.3889080767343134,43.21334702292727,-0.013433200376775645,457.9800513660493,623.9401540981503,0.01467530311013707,1.3623740864631115,475.1973598127328,-0.10204123479859495,320.0799061844567,210.23971855336882,0.03754318620049292,0.6568351042699043,189.30367868928408,0.058992865557482066
0.05,233.30468047839196,321.08929237349196,0.0,1.3762659699543849,248.327905578962,-0.12525279145025092,43.206920882263745,60.044846138842686,0.0,1.3897043555235347,43.24691072482979,-0.01341497746751874,459.6757561297147,629.0272683891462,0.014662648271365038,1.3684151491592753,478.95001361996196,-0.101736348539054,321.5419608763459,214.62588262903566,0.03813556263370243,0.667489499796804,191.6205760512103,0.05810414712229828
0.051000000000000004,235.6876772229753,324.4213430849809,0.0,1.3764883548750746,250.77445336298445,-0.124480457708663,43.2240907860441,60.09257978865607,0.0,1.390256653080563,43.2797473000467,-0.013384781993017514,461.3261228695108,633.9783686085336,0.014643504678985298,1.3742520468277464,482.60432731184216,-0.10142765338055426,322.9969660141536,218.9908980424584,0.03872146480401826,0.6779967649382265,193.93655672682004,0.05722641665987793
0.052000000000000005,238.0725212180292,327.75029276670375,0.0,1.3766825801224944,253.21727331444046,-0.12371530405002706,43.245866939335116,60.1395963887196,0.0,1.3906437919971137,43.31208775891642,-0.013346503087172223,462.92983337002295,638.7895001100703,0.01461801258689065,1.3798840646320618,486.1567530338258,-0.10111554369485165,324.4431639842891,223.32949195286432,0.0393009434833226,0.6883470411590453,196.24849460589863,0.056359169128819
0.053,240.45881103946232,331.0747161503611,0.0,1.3768458503108358,255.65530684575626,-0.1229573201208235,43.27072629076714,60.18604884173968,0.0,1.3909183875793143,43.34403600536744,-0.01330282797953597,464.4876234557441,643.462870367234,0.014586357074807597,1.3853175797880921,489.6083967483499,-0.10080016310542617,325.883455828266,227.65036748479565,0.039874064312842586,0.6985637454537207,198.5609532970814,0.05550296211542283
0.054,242.8460237736784,334.40199498809704,0.0,1.3770124369001187,258.0943444401464,-0.12220653250108648,43.297651265154386,60.232092381423676,0.0,1.3911168532575344,43.375698537716524,-0.01325555209942375,466.0037902763071,648.0113708289234,0.014548796170882923,1.3905710304302434,492.9683939890894,-0.10048121768057472,327.3180107860774,231.95403235822997,0.04044086788197086,0.7086503788813084,200.8740336480577,0.054657758919386845
0.055,245.23377798294533,337.73134665673587,0.0,1.3771811919001764,260.53380882103716,-0.12146292144824178,43.32596209475494,60.27782174518856,0.0,1.3912633172082707,43.407141949146556,-0.013205874579800714,467.47883477834995,652.436504335052,0.014505497311088513,1.3956492910409466,496.2374131782886,-0.10015887070641882,328.74654970990025,236.23964912969862,0.04100140032087977,0.7186072350817564,203.1870894546558,0.053823406881188696
0.056,247.62266028983535,341.0662757025697,0.0,1.3773629412726656,262.97639661823735,-0.12072616947328185,43.35515083666053,60.323193300829566,0.0,1.391373161820973,43.43833648754572,-0.01315469054688645,468.91286776464597,656.7386032939394,0.0144566086147994,1.4005557288813106,499.4152774289155,-0.09983331561128084,330.16445570502975,240.4933671150875,0.04155567234629633,0.7284047781628717,205.4921653783919,0.052998829466996966
