eps_axial,mcc_fe_q,mcc_fe_p_effective,mcc_fe_pore_pressure,mcc_fe_eps_v,mcc_fe_radial_total_stress,mcc_material_q,mcc_material_p_effective,mcc_material_pore_pressure,evp_fe_q,evp_fe_p_effective,evp_fe_pore_pressure,evp_fe_eps_v,evp_fe_radial_total_stress,evp_material_q,evp_material_p_effective,evp_material_pore_pressure,norsand_fe_q,norsand_fe_p_effective,norsand_fe_pore_pressure,norsand_fe_eps_v,norsand_fe_radial_total_stress,norsand_material_q,norsand_material_p_effective,norsand_material_pore_pressure
0.048,275.7851411125448,229.8116446501909,-37.88301204385512,-7.98112519245775e-06,100.00025223548754,275.8474774743159,229.864191219381,-37.915032061275724,273.67716680465173,228.1179928557161,-36.88830710997575,-7.77156253685407e-06,100.00396347752311,273.73614368559197,228.16775445008057,-36.92237322154989,276.85321716948135,230.8435250635808,-38.982871528879166,-8.212841620787448e-06,99.57624781154118,275.2375958419445,230.35824128802292,-38.61237600737476
0.0495,275.78454534109176,229.8141049297535,-37.88567091384691,-7.981685358440793e-06,100.00025223554267,275.846920734899,229.86651134320343,-37.917537764903756,273.65861906397987,228.0993645520913,-36.87619742612185,-7.769011290327532e-06,100.00362743797615,273.7209718180612,228.14910600829498,-36.908782068941264,276.84556594933156,230.75193962538046,-38.982871528879905,-8.212841620794387e-06,99.4872127800567,275.2710701730955,230.3919085455215,-38.634885154489666
0.051000000000000004,275.78413883339243,229.81578353956596,-37.88748502618844,-7.982067552390892e-06,100.00025223558004,275.8465420000663,229.8680895791057,-37.9192422457503,273.63581521833373,228.08151424131154,-36.86540086105482,-7.766736689319986e-06,100.00417497414547,273.70086520501116,228.13124373813574,-36.89762200313203,276.8188840835538,230.6033317312061,-38.98287152888067,-8.212841620801326e-06,99.34749884114083,275.3037042377744,230.42464968958072,-38.65674827698925
0.0525,275.7838614707885,229.81692882215597,-37.88872276295446,-7.982328316551157e-06,100.00025223560532,275.8462843626032,229.86916314909385,-37.920401694892774,273.6228183879132,228.06439169929445,-36.8545319719703,-7.764446851209195e-06,100.00225359801975,273.68234100442714,228.1141053330966,-36.88665833162088,276.7854574232773,230.7558959945786,-38.9828715288814,-8.212841620787448e-06,99.51120532460476,275.33555615293716,230.4565235953916,-38.67800487774588
0.054,275.78367222760556,229.8177102230877,-37.88956724492992,-7.98250623050556e-06,100.00025223562257,275.8461091052266,229.86989342543862,-37.92119039036308,273.60209520712704,228.04792801400004,-36.84535813831621,-7.762514124362574e-06,100.00187147330814,273.66643517791437,228.09763666316812,-36.87549160386334,276.75784542759425,230.80472093774998,-38.81129705398079,-8.176694617438585e-06,99.74080874123777,275.36663585981694,230.48757093885843,-38.69869231891943
0.0555,275.78354310926125,229.81824335425776,-37.890143415536336,-7.982627617086901e-06,100.00025223563432,275.84598988795005,229.87039018133905,-37.921726885355696,273.58351078781914,228.03209536155398,-36.83561281722497,-7.76046099754818e-06,100.00197894838932,273.64891203516237,228.08179281639423,-36.86548880467342,276.73211848009873,230.55430674182776,-38.81129705398153,-8.176694617424707e-06,99.49897019448002,275.3969561764025,230.51782684424992,-38.718841452115754
0.057,275.7834550140114,229.81860709626858,-37.890536522622526,-7.982710436178764e-06,100.00025223564224,275.84590879201374,229.8707280890543,-37.92209182504973,273.5693952864345,228.01685161904084,-36.82505519280088,-7.758236736106483e-06,100.00199799742845,273.6337918176325,228.06652785617106,-36.85526391696021,276.6856594706546,230.40468443410668,-38.81129705398232,-8.176694617431646e-06,99.36483422323948,275.4265318651132,230.54731947024598,-38.73847551520825
0.0585,275.7833949084196,229.81885526801253,-37.89080472955824,-7.98276694155553e-06,100.00025223564778,275.8458536278613,229.8709579433827,-37.922340067428934,273.5608213639084,228.0021607225906,-36.81345111395031,-7.75579200956722e-06,100.00176915400412,273.6157240234557,228.0518052498165,-36.84656390866462,276.6317633109333,230.37198919739436,-38.81129705398308,-8.176694617438585e-06,99.35010437310021,275.455379179996,230.57607431499954,-38.75761458833421
0.06,275.7833538997395,229.8190245890214,-37.8909877201234,-7.982805493661482e-06,100.00025223565152,275.84581610349005,229.87111429663818,-37.922508928808156,273.5363701647427,227.98794211211745,-36.8062872987831,-7.754282749780628e-06,100.00286475842009,273.59947728917786,228.03759041356923,-36.83776465050994,276.591171498237,230.14019486840868,-38.81129705398378,-8.176694617431646e-06,99.13184064834591,275.48351443156224,230.60411108798266,-38.77627294412858
0.0615,275.7833259205131,229.8191401121975,-37.89111256970569,-7.982831796746193e-06,100.0002522356541,275.8457905783017,229.87122065238,-37.9226237929461,273.5319158149435,227.974237733784,-36.79510839709108,-7.751927598768915e-06,100.00182406504513,273.5856329094412,228.0238531948016,-36.828642224987874,276.523871566407,230.00185462918003,-38.81129705398464,-8.176694617424707e-06,99.0159337197264,275.51095409469355,230.63144901912747,-38.79446432089628
